ID,name,sort.name,Gender
7079,Claude Colleer Abbott,"Abbott, Claude Colleer",Male
7475,C. E. M. Joad,"Joad, C. E. M.",Male
6423,James Bryce,"Bryce, James",Male
8165,Grafton Elliot Smith,"Smith, Grafton Elliot",Male
10339,Lala Lajpat Rai,"Lajpat Rai, Lala",Male
7883,Sir Thomas Browne,"Browne, Thomas",Male
6316,Aurélien Digeon,"Digeon, Aurélien",Male
10517,A. L. Lloyd,"Lloyd, A. L.",Male
6583,Martin Andersen-Nexø,"Andersen-Nexø, Martin",Male
9641,"Meyerstein, E. H. W.","Meyerstein, Edward Harry William",Male
7502,Arnold Lorand,"Lorand, Arnold",Male
10369,Henri Matisse,"Matisse, Henri",Male
5968,Basil King,"King, Basil",Male
6833,Frank Jellinek,"Jellinek, Frank",Male
10071,José García Villa,"Villa, José García",Male
7106,Whit Burnett,"Burnett, Whit",Male
7805,Lanling Xiaoxiao Sheng,"Sheng, Xiaoxiao",Male
7550,Alan Calmer,"Calmer, Alan",Male
6634,C. M. Bowra,"Bowra, C. M.",Male
10413,Lovat Dickson,"Dickson, Lovat",Male
239,James Joyce,"Joyce, James",Male
5583,J. M. Synge,"Synge, John Millington",Male
6841,Charles Reade,"Reade, Charles",Male
9920,Stuart Mason,"Mason, Stuart",Male
7680,John Richard Green,"Green, John Richard",Male
6058,Langston Hughes,"Hughes, Langston",Male
7921,John Ford,"Ford, John",Male
531,Allen Tate,"Tate, Allen",Male
5722,Eric Linklater,"Linklater, Eric",Male
8194,John Crown,"Crown, John",Male
6797,Theodore Roosevelt,"Roosevelt, Theodore",Male
6843,Philip Henry Wicksteed,"Wicksteed, Philip Henry",Male
10325,"Lawrence Dundas, 2nd Marquess of Zetland / Earl of Ronaldshay","Dundas, Lawrence, Earl of Ronaldshay",Male
285,Ludwig Lewisohn,"Lewisohn, Ludwig",Male
5891,Maurice Baring,"Baring, Maurice",Male
7348,Paul Carus,"Carus, Paul",Male
6674,Francis Thompson,"Thompson, Francis",Male
7382,Edward Sackville-West,"Sackville-West, Edward Charles",Male
6325,Nathaniel Hawthorne,"Hawthorne, Nathaniel",Male
5795,Emil Ludwig,"Ludwig, Emil",Male
6835,A. L. Rowse,"Rowse, A. L.",Male
7926,Lothrop Stoddard,"Stoddard, Lothrop",Male
6555,Henry Harland,"Harland, Henry",Male
7045,Norman Collins,"Collins, Norman",Male
6486,Archibald Henderson,"Henderson, Archibald",Male
10466,George Arthur,"Arthur, George",Male
7113,T. Earle Welby,"Welby, T. Earle",Male
